customer_id,as_of_date,region_name,age,age_band,marital_status,customer_tenure_months,multi_policy_flag,num_policies,policy_type,renewal_month,current_premium,premium_last_year,premium_change_pct,num_price_increases_last_3y,coverage_amount,premium_to_coverage_ratio,payment_frequency,autopay_enabled,late_payment_count_12m,missed_payment_flag,payment_method_change_flag,num_claims_12m,num_approved_claims_12m,num_rejected_claims_12m,num_pending_claims_12m,avg_claim_amount,total_claim_amount_12m,total_payout_amount_12m,payout_ratio_12m,avg_settlement_time_days,days_since_last_claim,num_contacts_12m,complaint_flag,complaint_resolution_days,quote_requested_flag,coverage_downgrade_flag,churn_flag,churn_type,churn_probability_true
18,2025-12-31,Canterbury,26,25-34,Single,100,1,3,Health,3,1117.41,1040.78,0.0807,2,124889.66,0.00894716,Monthly,1,1,0,0,0,0,0,0,1571.07,0.0,0.0,0.8,20,1200,1,0,0,0,0,0,No churn,0.139577
19,2025-12-31,Auckland,75,75+,Single,153,0,1,Home,4,875.47,837.59,0.0717,1,384598.56,0.00227632,Monthly,1,1,0,1,0,0,0,0,8733.87,0.0,0.0,0.75,26,1238,3,0,0,0,0,0,No churn,0.445235
20,2025-12-31,Auckland,48,45-54,Married,105,1,3,Home,5,585.83,594.18,-0.0304,1,297206.11,0.00197114,Monthly,1,0,0,0,0,0,0,0,4254.02,0.0,0.0,0.75,7,1379,1,0,0,0,1,0,No churn,0.042956
21,2025-12-31,Canterbury,52,45-54,Married,80,0,1,Home,11,730.92,673.77,0.0973,2,750848.28,0.00097346,Annual,1,0,0,0,0,0,0,0,3168.93,0.0,0.0,0.75,23,1301,1,0,0,0,0,0,No churn,0.175178
22,2025-12-31,Waikato,43,35-44,Married,136,0,1,Health,7,1808.98,1689.74,0.0615,2,230717.0,0.00784067,Annual,0,0,0,0,0,0,0,0,4029.83,0.0,0.0,0.8,26,504,0,1,21,0,0,0,No churn,0.189769
23,2025-12-31,Waikato,30,25-34,Married,68,0,1,Home,5,518.81,446.85,0.1658,2,351119.01,0.00147758,Monthly,1,2,0,0,0,0,0,0,5892.71,0.0,0.0,0.75,7,1321,0,0,0,1,0,0,No churn,0.776882
24,2025-12-31,Bay of Plenty,81,75+,Single,100,1,2,Home,9,1168.3,1157.99,0.0003,3,586408.45,0.0019923,Monthly,0,0,0,0,0,0,0,0,21272.24,0.0,0.0,0.75,28,1097,1,0,0,0,0,0,No churn,0.065346
25,2025-12-31,Waikato,71,65-74,Married,92,0,1,Auto,10,1597.3,1403.94,0.1217,2,35551.63,0.04492915,Monthly,1,0,0,0,0,0,0,0,2334.15,0.0,0.0,0.75,2,1690,0,0,0,0,1,0,No churn,0.459878
26,2025-12-31,Wellington,61,55-64,Married,99,1,3,Home,2,837.3,901.76,-0.0795,2,524633.34,0.00159597,Monthly,0,0,0,0,1,1,0,0,11919.63,11919.63,8939.72,0.75,5,82,2,0,0,0,0,0,No churn,0.037494
27,2025-12-31,Manawatu-Whanganui,45,45-54,Married,163,0,1,Home,11,579.96,538.01,0.0747,2,188255.17,0.0030807,Annual,1,0,0,0,0,0,0,0,2908.84,0.0,0.0,0.75,23,1533,0,0,0,0,0,0,No churn,0.146425
28,2025-12-31,Manawatu-Whanganui,73,65-74,Married,13,0,1,Life,4,1459.75,1331.7,0.072,1,393319.58,0.00371136,Monthly,1,0,0,0,0,0,0,0,5345.67,0.0,0.0,0.85,33,1329,0,0,0,0,0,0,No churn,0.43256
29,2025-12-31,Wellington,55,55-64,Single,146,0,1,Auto,1,692.54,711.29,-0.0462,2,13851.83,0.0499965,Annual,1,0,0,0,0,0,0,0,2645.63,0.0,0.0,0.75,11,1781,1,0,0,0,0,0,No churn,0.08685
30,2025-12-31,Manawatu-Whanganui,48,45-54,Single,72,0,1,Home,9,570.58,487.4,0.1749,3,539078.97,0.00105844,Monthly,1,1,0,0,1,1,0,0,3107.55,3107.55,2330.66,0.75,11,154,3,0,0,0,0,1,Price,0.526133
31,2025-12-31,Manawatu-Whanganui,48,45-54,Married,135,0,1,Life,10,1464.75,1292.58,0.132,3,170867.24,0.00857242,Monthly,0,0,0,0,0,0,0,0,17042.29,0.0,0.0,0.85,16,825,1,0,0,0,0,0,No churn,0.324626
32,2025-12-31,Waikato,33,25-34,Single,20,1,3,Health,8,1523.7,1410.87,0.0647,3,132642.55,0.01148724,Annual,1,0,0,0,0,0,0,0,1406.79,0.0,0.0,0.8,1,1053,2,0,0,0,0,0,No churn,0.058421
33,2025-12-31,Otago,24,18-24,Married,142,0,1,Auto,6,929.28,839.13,0.1185,2,21150.3,0.04393721,Monthly,0,1,0,0,0,0,0,0,2366.87,0.0,0.0,0.75,13,717,1,0,0,0,0,0,No churn,0.518438
34,2025-12-31,Auckland,55,55-64,Married,75,1,4,Life,4,981.93,973.57,0.0108,3,385948.54,0.00254419,Annual,1,1,0,0,1,1,0,0,12632.0,12632.0,10737.2,0.85,11,278,3,0,0,0,0,0,No churn,0.03582
35,2025-12-31,Auckland,78,75+,Single,168,0,1,Auto,9,1076.29,1005.4,0.0802,3,31626.17,0.03403148,Monthly,1,0,0,0,0,0,0,0,4482.78,0.0,0.0,0.75,18,1613,1,0,0,0,0,0,No churn,0.366386
36,2025-12-31,Auckland,22,18-24,Married,51,0,1,Travel,8,358.12,297.75,0.2278,2,20503.4,0.01746646,Monthly,1,0,0,0,0,0,0,0,1647.71,0.0,0.0,0.75,11,433,1,0,0,1,0,0,No churn,0.705715
37,2025-12-31,Auckland,76,75+,Married,64,0,1,Home,10,918.17,941.69,-0.005,0,366951.54,0.00250216,Monthly,0,0,0,0,0,0,0,0,12347.1,0.0,0.0,0.75,20,1713,1,0,0,0,1,1,Other,0.262977
38,2025-12-31,Otago,74,65-74,Married,124,0,1,Home,4,1008.18,904.71,0.1205,2,473190.92,0.00213059,Monthly,1,0,0,0,0,0,0,0,1845.5,0.0,0.0,0.75,19,1419,1,0,0,0,0,1,Price,0.411296
39,2025-12-31,Auckland,36,35-44,Single,20,1,4,Health,3,2117.93,1869.48,0.1085,3,115779.92,0.01829268,Annual,1,0,0,0,0,0,0,0,3568.94,0.0,0.0,0.8,9,1342,2,0,0,0,0,0,No churn,0.067731
40,2025-12-31,Wellington,60,55-64,Single,19,0,1,Health,5,1205.09,1178.44,-0.0013,2,114101.65,0.0105615,Annual,1,0,0,1,1,1,0,0,1685.17,1685.17,1348.14,0.8,10,175,4,0,0,0,0,1,Other,0.129892
41,2025-12-31,Wellington,29,25-34,Single,62,1,3,Travel,3,189.85,174.16,0.0964,3,16930.39,0.01121341,Monthly,1,2,0,0,0,0,0,0,1659.8,0.0,0.0,0.75,21,579,3,0,0,0,0,0,No churn,0.223544
42,2025-12-31,Auckland,69,65-74,Single,108,0,1,Home,5,747.52,684.19,0.1372,1,305369.26,0.00244792,Monthly,1,0,0,0,0,0,0,0,6210.16,0.0,0.0,0.75,21,1762,1,0,0,0,1,0,No churn,0.476385
43,2025-12-31,Bay of Plenty,65,65-74,Married,117,0,1,Auto,7,755.53,771.16,-0.0528,1,34314.41,0.02201779,Monthly,1,1,0,0,0,0,0,0,12292.35,0.0,0.0,0.75,25,1677,0,0,0,0,0,0,No churn,0.245879
44,2025-12-31,Bay of Plenty,42,35-44,Single,163,0,1,Home,3,963.73,1000.35,-0.0353,1,310046.01,0.00310834,Monthly,1,0,0,0,0,0,0,0,5314.73,0.0,0.0,0.75,5,1383,0,0,0,0,1,0,No churn,0.17312
45,2025-12-31,Auckland,22,18-24,Single,135,0,1,Auto,3,901.6,863.81,0.0326,3,32573.85,0.02767868,Monthly,0,0,0,1,0,0,0,0,5369.61,0.0,0.0,0.75,17,1149,1,0,0,0,0,0,No churn,0.250363
46,2025-12-31,Canterbury,84,75+,Married,67,0,1,Health,12,2312.5,2222.03,0.0473,2,183602.92,0.01259513,Monthly,1,2,0,0,0,0,0,0,6893.41,0.0,0.0,0.8,17,420,0,0,0,0,0,0,No churn,0.6047
47,2025-12-31,Canterbury,48,45-54,Single,11,0,1,Auto,5,956.72,862.79,0.1297,3,34153.53,0.02801223,Monthly,0,1,0,1,0,0,0,0,8063.54,0.0,0.0,0.75,20,1586,2,0,0,0,0,1,Price,0.95743
48,2025-12-31,Canterbury,78,75+,Single,50,1,2,Home,8,752.51,789.5,-0.0525,0,569057.27,0.00132239,Annual,1,0,0,0,0,0,0,0,7253.69,0.0,0.0,0.75,29,1726,1,0,0,0,0,1,Other,0.034261
49,2025-12-31,Auckland,64,55-64,Married,2,1,4,Health,5,2388.24,2547.38,-0.0525,1,150985.31,0.01581768,Monthly,1,1,0,0,1,1,0,0,6523.43,6523.43,5218.74,0.8,31,102,0,0,0,0,0,0,No churn,0.127756
50,2025-12-31,Auckland,70,65-74,Married,132,0,1,Auto,4,785.79,752.6,0.0512,3,38250.54,0.02054332,Monthly,0,0,0,0,0,0,0,0,4274.5,0.0,0.0,0.75,13,1303,2,0,0,0,0,0,No churn,0.258966
51,2025-12-31,Auckland,69,65-74,Single,53,1,4,Travel,7,178.38,178.9,-0.0171,0,29878.4,0.00597008,Monthly,1,0,0,0,0,0,0,0,10404.9,0.0,0.0,0.75,6,1448,1,0,0,0,0,0,No churn,0.044525
52,2025-12-31,Waikato,31,25-34,Married,160,0,1,Travel,1,253.49,243.86,0.0351,2,14802.17,0.01712511,Annual,1,0,0,0,0,0,0,0,2196.84,0.0,0.0,0.75,24,427,2,0,0,0,0,0,No churn,0.139204
53,2025-12-31,Canterbury,42,35-44,Married,146,1,2,Home,11,623.3,678.09,-0.0656,0,495112.3,0.00125891,Monthly,1,0,0,0,0,0,0,0,3092.27,0.0,0.0,0.75,26,899,1,0,0,0,0,0,No churn,0.03281
54,2025-12-31,Canterbury,49,45-54,Single,162,0,1,Auto,2,1213.75,1252.26,-0.036,1,16431.86,0.07386563,Annual,1,0,0,0,0,0,0,0,4331.54,0.0,0.0,0.75,18,1019,1,0,0,0,0,1,Other,0.083192
55,2025-12-31,Canterbury,51,45-54,Single,124,1,4,Auto,8,1118.47,1118.49,0.0139,1,24732.97,0.04522201,Monthly,1,0,0,0,0,0,0,0,3816.74,0.0,0.0,0.75,16,866,2,0,0,0,0,0,No churn,0.037498
56,2025-12-31,Waikato,20,18-24,Married,138,0,1,Health,11,1749.91,1642.06,0.0632,1,158009.81,0.01107466,Monthly,1,0,0,0,1,1,0,0,3368.81,3368.81,2695.05,0.8,25,251,3,0,0,0,0,0,No churn,0.314015
57,2025-12-31,Waikato,55,55-64,Single,164,1,4,Auto,9,904.58,921.48,0.0029,2,26513.89,0.03411723,Monthly,0,0,0,0,0,0,0,0,5864.12,0.0,0.0,0.75,23,1477,1,0,0,0,0,0,No churn,0.035339
58,2025-12-31,Auckland,28,25-34,Married,69,1,4,Auto,11,1275.31,1166.29,0.0966,1,29649.44,0.04301305,Monthly,0,1,0,0,0,0,0,0,2418.93,0.0,0.0,0.75,1,796,1,0,0,0,0,0,No churn,0.15076
59,2025-12-31,Waikato,68,65-74,Single,18,0,1,Auto,11,1327.74,1122.15,0.1795,1,25978.24,0.05110973,Monthly,1,0,0,0,0,0,0,0,1959.55,0.0,0.0,0.75,10,916,1,0,0,0,0,1,Price,0.581815
60,2025-12-31,Auckland,64,55-64,Single,48,0,1,Life,5,1543.53,1452.33,0.0238,1,6106.1,0.25278533,Monthly,1,2,0,0,0,0,0,0,6621.87,0.0,0.0,0.85,28,708,2,0,0,0,0,0,No churn,0.39472
61,2025-12-31,Auckland,80,75+,Married,63,0,1,Health,10,2304.64,2246.31,0.0341,2,213815.58,0.01077865,Monthly,1,1,0,1,0,0,0,0,6737.74,0.0,0.0,0.8,26,638,1,0,0,0,0,0,No churn,0.411438
62,2025-12-31,Otago,68,65-74,Married,98,1,3,Travel,9,278.83,264.16,0.0575,1,16975.29,0.01642584,Monthly,0,0,0,0,0,0,0,0,2127.86,0.0,0.0,0.75,17,848,1,0,0,0,0,1,Other,0.06969
63,2025-12-31,Otago,42,35-44,Single,110,0,1,Home,11,796.4,737.69,0.0765,3,581597.93,0.00136934,Monthly,0,0,0,0,0,0,0,0,8988.0,0.0,0.0,0.75,27,754,0,0,0,0,0,0,No churn,0.234443
64,2025-12-31,Otago,83,75+,Single,112,0,1,Auto,2,1036.41,851.9,0.2333,1,16874.97,0.06141717,Annual,1,0,0,1,0,0,0,0,7607.89,0.0,0.0,0.75,6,624,0,0,0,0,0,1,Price,0.569273
65,2025-12-31,Wellington,45,45-54,Married,77,0,1,Home,6,1214.11,1243.27,-0.0274,0,293536.03,0.00413616,Monthly,0,0,0,1,0,0,0,0,13987.19,0.0,0.0,0.75,14,1726,3,0,0,0,0,1,Other,0.136024
66,2025-12-31,Otago,40,35-44,Married,4,1,3,Home,4,837.76,790.51,0.0474,3,519534.12,0.00161251,Annual,0,1,0,0,0,0,0,0,14215.34,0.0,0.0,0.75,18,1085,3,0,0,0,0,0,No churn,0.091224
67,2025-12-31,Auckland,79,75+,Single,86,0,1,Travel,10,196.58,186.6,0.0562,1,9889.63,0.01987775,Monthly,0,0,0,1,1,1,0,0,3916.26,3916.26,2937.2,0.75,32,36,4,0,0,0,0,1,Other,0.329262
68,2025-12-31,Auckland,43,35-44,Single,59,0,1,Health,8,1123.62,903.5,0.2597,2,132475.7,0.00848167,Annual,1,0,0,0,0,0,0,0,2343.09,0.0,0.0,0.8,21,378,0,0,0,0,0,0,No churn,0.416276
69,2025-12-31,Wellington,23,18-24,Married,61,0,1,Auto,5,963.57,830.9,0.1533,2,19609.76,0.04913747,Monthly,0,0,0,0,0,0,0,0,3804.64,0.0,0.0,0.75,20,796,1,0,0,0,1,1,Price,0.536963
70,2025-12-31,Waikato,49,45-54,Single,67,1,2,Health,7,878.39,847.89,0.0138,2,146242.03,0.00600642,Annual,0,0,0,0,0,0,0,0,8247.81,0.0,0.0,0.8,28,755,0,0,0,0,0,0,No churn,0.021514
71,2025-12-31,Auckland,72,65-74,Single,94,0,1,Home,11,804.47,746.19,0.0537,2,282102.25,0.00285168,Monthly,1,1,0,0,0,0,0,0,12275.01,0.0,0.0,0.75,14,1374,4,0,0,0,0,0,No churn,0.38521
72,2025-12-31,Auckland,30,25-34,Single,77,0,1,Health,6,1953.55,1776.82,0.1018,1,161306.29,0.01211084,Monthly,0,0,0,1,0,0,0,0,3735.98,0.0,0.0,0.8,14,746,2,0,0,0,0,0,No churn,0.33484
73,2025-12-31,Auckland,49,45-54,Single,141,0,1,Travel,8,207.57,202.25,0.0297,2,17907.96,0.01159094,Annual,1,0,0,0,0,0,0,0,2462.81,0.0,0.0,0.75,10,971,1,0,0,0,0,1,Other,0.105527
74,2025-12-31,Wellington,26,25-34,Married,18,1,2,Life,3,1620.91,1481.31,0.0979,2,517640.99,0.00313135,Annual,0,0,0,0,0,0,0,0,28291.89,0.0,0.0,0.85,32,1504,1,0,0,1,1,0,No churn,0.16272
75,2025-12-31,Auckland,64,55-64,Single,84,1,3,Health,5,1728.87,1593.68,0.1133,3,141192.32,0.01224478,Annual,0,0,0,0,1,1,0,0,9999.17,9999.17,7999.34,0.8,22,175,1,0,0,1,0,0,No churn,0.085887
76,2025-12-31,Waikato,50,45-54,Married,165,0,1,Travel,2,120.0,102.01,0.1619,2,16300.42,0.00736177,Annual,1,0,0,0,0,0,0,0,1234.02,0.0,0.0,0.75,13,420,1,0,0,0,0,0,No churn,0.259153
77,2025-12-31,Auckland,40,35-44,Single,21,0,1,Health,4,1329.14,1409.96,-0.0276,2,94763.37,0.01402593,Annual,0,0,0,0,0,0,0,0,12710.49,0.0,0.0,0.8,9,1809,2,0,0,0,0,0,No churn,0.113175
78,2025-12-31,Waikato,33,25-34,Single,170,1,2,Home,12,519.54,539.86,-0.0219,1,311047.91,0.0016703,Monthly,1,1,0,0,0,0,0,0,26318.08,0.0,0.0,0.75,12,1740,0,0,0,0,0,0,No churn,0.066853
79,2025-12-31,Auckland,56,55-64,Married,75,1,2,Auto,12,1280.94,1211.43,0.0703,2,12971.18,0.09875278,Monthly,0,2,0,0,0,0,0,0,5127.67,0.0,0.0,0.75,23,1374,0,0,0,0,0,0,No churn,0.153938
80,2025-12-31,Auckland,63,55-64,Married,155,0,1,Health,2,1634.32,1356.64,0.1947,2,171579.99,0.00952514,Monthly,1,0,0,0,0,0,0,0,3168.84,0.0,0.0,0.8,8,458,1,1,20,0,0,1,Price,0.989508
81,2025-12-31,Auckland,81,75+,Single,151,0,1,Home,9,1041.64,1083.13,-0.0307,1,525993.45,0.00198033,Monthly,1,0,0,0,0,0,0,0,3854.01,0.0,0.0,0.75,16,499,1,0,0,0,0,0,No churn,0.245464
82,2025-12-31,Auckland,47,45-54,Single,151,1,2,Auto,3,982.93,1072.82,-0.0816,2,33418.83,0.02941251,Annual,1,0,0,0,0,0,0,0,8901.77,0.0,0.0,0.75,10,590,2,0,0,0,0,0,No churn,0.018956
83,2025-12-31,Bay of Plenty,28,25-34,Married,117,1,3,Home,11,807.75,715.85,0.1411,1,628213.09,0.00128579,Annual,1,0,0,0,0,0,0,0,20762.12,0.0,0.0,0.75,13,799,1,1,13,0,0,1,Price,0.898775
84,2025-12-31,Auckland,74,65-74,Married,24,0,1,Health,10,1421.73,1254.76,0.1213,2,97269.28,0.01461642,Monthly,0,2,0,0,1,0,0,1,6956.03,6956.03,5217.02,0.75,27,311,3,0,0,1,0,1,Price,0.910892
85,2025-12-31,Otago,60,55-64,Married,102,1,4,Auto,1,1136.98,981.14,0.1605,2,41926.97,0.02711814,Annual,1,0,0,0,0,0,0,0,1413.91,0.0,0.0,0.75,19,1254,1,0,0,0,1,0,No churn,0.098929
86,2025-12-31,Auckland,65,65-74,Married,146,1,2,Health,2,1337.49,1109.14,0.2107,2,124885.77,0.01070973,Monthly,0,0,0,0,0,0,0,0,3956.98,0.0,0.0,0.8,2,952,0,0,0,1,0,0,No churn,0.262847
87,2025-12-31,Auckland,24,18-24,Single,141,0,1,Auto,2,680.76,645.21,0.065,1,13279.75,0.05126275,Monthly,1,2,0,0,0,0,0,0,12715.91,0.0,0.0,0.75,14,659,1,0,0,0,0,0,No churn,0.534664
88,2025-12-31,Auckland,39,35-44,Married,64,0,1,Auto,11,1194.73,1178.03,0.0287,3,18078.83,0.06608467,Monthly,1,1,0,0,0,0,0,0,4431.62,0.0,0.0,0.75,27,1563,3,0,0,0,0,0,No churn,0.255142
89,2025-12-31,Wellington,70,65-74,Single,178,1,4,Life,11,1155.87,1068.54,0.0571,1,330872.27,0.0034934,Monthly,1,0,0,0,0,0,0,0,5122.94,0.0,0.0,0.85,36,1021,1,0,0,0,0,0,No churn,0.072999
90,2025-12-31,Bay of Plenty,74,65-74,Single,29,1,4,Health,11,1345.72,1219.37,0.0696,3,180428.84,0.00745845,Monthly,1,0,0,0,1,1,0,0,3741.38,3741.38,2993.1,0.8,21,328,4,0,0,0,0,1,Other,0.103613
91,2025-12-31,Canterbury,47,45-54,Married,10,1,2,Home,5,748.05,723.98,0.0498,2,291367.11,0.0025674,Monthly,1,0,0,0,0,0,0,0,9365.83,0.0,0.0,0.75,14,853,0,0,0,0,0,0,No churn,0.085578
92,2025-12-31,Waikato,72,65-74,Single,121,1,3,Auto,12,881.3,923.75,-0.013,1,26963.0,0.03268555,Monthly,0,0,0,0,0,0,0,0,10856.73,0.0,0.0,0.75,12,1666,0,0,0,0,0,0,No churn,0.048316
93,2025-12-31,Wellington,75,75+,Single,27,0,1,Home,10,828.76,681.45,0.2319,2,455151.76,0.00182085,Annual,1,0,0,0,1,0,0,1,8142.16,8142.16,5699.51,0.7,26,336,5,0,0,1,0,1,Price,0.827132
94,2025-12-31,Auckland,44,35-44,Single,143,1,2,Health,4,1886.68,1612.42,0.1728,2,77973.48,0.02419644,Annual,1,0,0,0,1,1,0,0,4631.4,4631.4,3705.12,0.8,24,311,3,0,0,0,1,0,No churn,0.096224
95,2025-12-31,Waikato,79,75+,Married,168,1,3,Auto,3,692.37,674.2,0.0046,3,18826.27,0.03677664,Monthly,0,1,0,0,0,0,0,0,2717.32,0.0,0.0,0.75,30,1054,3,0,0,0,0,1,Other,0.100092
96,2025-12-31,Canterbury,37,35-44,Married,45,1,4,Health,11,1440.45,1251.65,0.1308,2,163809.67,0.00879344,Monthly,0,1,0,1,0,0,0,0,2057.22,0.0,0.0,0.8,11,1354,0,0,0,0,1,0,No churn,0.187301
97,2025-12-31,Auckland,34,25-34,Married,122,0,1,Home,2,512.78,516.97,-0.0451,0,613251.13,0.00083617,Monthly,0,0,0,0,0,0,0,0,6168.3,0.0,0.0,0.75,11,1523,0,0,0,0,0,0,No churn,0.166179
98,2025-12-31,Canterbury,64,55-64,Single,34,0,1,Health,4,1126.06,1066.64,0.0675,1,134276.3,0.00838614,Monthly,0,1,0,0,0,0,0,0,2874.42,0.0,0.0,0.8,27,970,1,0,0,0,0,1,Other,0.374551
99,2025-12-31,Waikato,61,55-64,Single,61,1,4,Life,2,1028.25,980.41,0.0097,1,410020.25,0.0025078,Monthly,1,2,0,0,0,0,0,0,4676.37,0.0,0.0,0.85,19,1522,2,0,0,0,0,0,No churn,0.104224
100,2025-12-31,Wellington,27,25-34,Married,22,1,2,Health,5,1499.56,1372.95,0.106,3,93656.75,0.01601122,Monthly,0,0,0,0,0,0,0,0,6784.42,0.0,0.0,0.8,11,1069,0,1,19,0,0,1,Service,0.980494
101,2025-12-31,Wellington,74,65-74,Married,142,1,3,Home,10,628.34,565.05,0.1107,2,531501.44,0.00118221,Monthly,1,0,0,0,0,0,0,0,11201.07,0.0,0.0,0.75,11,1400,0,0,0,0,0,0,No churn,0.1216
102,2025-12-31,Otago,31,25-34,Married,135,0,1,Travel,4,204.93,171.96,0.1867,3,16848.14,0.01216364,Monthly,1,1,0,0,0,0,0,0,4271.9,0.0,0.0,0.75,26,426,4,0,0,1,0,1,Price,0.708264
103,2025-12-31,Wellington,72,65-74,Single,48,0,1,Life,8,774.14,791.84,-0.0163,2,358191.41,0.00216123,Annual,1,0,0,0,0,0,0,0,4481.76,0.0,0.0,0.85,16,965,2,0,0,0,0,1,Other,0.119153
104,2025-12-31,Auckland,18,18-24,Single,93,1,2,Health,1,1597.74,1415.92,0.1352,2,167485.76,0.00953953,Monthly,0,1,0,0,0,0,0,0,10053.6,0.0,0.0,0.8,15,1818,2,0,0,0,0,1,Price,0.236492
105,2025-12-31,Otago,72,65-74,Single,65,0,1,Home,2,649.32,548.95,0.1975,1,623218.32,0.00104189,Monthly,1,1,0,1,1,0,1,0,17457.5,17457.5,10474.5,0.6,7,103,4,1,9,0,1,1,Price,0.999468
106,2025-12-31,Manawatu-Whanganui,71,65-74,Married,136,0,1,Auto,12,1004.73,966.68,0.0658,2,26698.57,0.03763231,Annual,1,0,0,0,1,1,0,0,3263.28,3263.28,2447.46,0.75,18,154,4,0,0,0,0,0,No churn,0.188548
